track_id,target_latitude,target_longitude,obj_class
563,31.18251819095971,121.47183206045251,person
564,31.182518044152047,121.47183601102478,person
565,31.182518819867607,121.4718320836251,person
568,31.182561306779053,121.47194255015904,person
570,31.182474554866573,121.47183619523258,bench
574,31.182766686613327,121.47165147933634,person
576,31.182793529980263,121.47164046970944,person
577,31.182816504104743,121.4716268055187,person
579,31.182794156657952,121.47169549447192,boat
582,31.18280069474622,121.47167116227703,boat
586,31.182876463060964,121.47158976669292,person
591,31.183019011301152,121.47139067481208,boat
593,31.182907780878235,121.47155415600128,boat
596,31.18301719488009,121.47161382772698,person
601,31.18311526394244,121.47134262667517,boat
603,31.183084200697916,121.47161478702031,person
605,31.18309044612932,121.4717602107834,person
609,31.183098379345505,121.47159717660384,person
611,31.18307678163208,121.47176304430342,person
612,31.18305096587515,121.47171304459631,person
614,31.183111975774004,121.47158009817956,person
616,31.183103331783663,121.47156241436367,person
630,31.18319303839509,121.47151825071457,person
635,31.183196914626173,121.47151380840386,person
640,31.183288258157404,121.47108416674794,boat
641,31.18333076944996,121.47072337043927,boat
647,31.183221773214484,121.47100079459636,person
655,31.183225857208495,121.47102453496576,boat
657,31.18322883133312,121.47104864592625,boat
660,31.183259679799885,121.47097245498828,person
674,31.1832810294838,121.47083580657016,person
680,31.183401343010832,121.46996034627588,boat
685,31.18334697085944,121.46983105205489,person
692,31.1830188457182,121.46916258266072,person
696,31.182798876677836,121.4695372147567,person
697,31.182786801085637,121.46954796641369,person
698,31.182805172188058,121.46954135238306,person
699,31.182952345090296,121.46929512955882,person
700,31.18282243267768,121.46951073440408,person
703,31.18275293302252,121.469590408007,person
708,31.1827402396254,121.4696004662211,person
709,31.18296992665769,121.46941162235676,person
710,31.18263325659273,121.46961236909284,person
711,31.18263763746628,121.46960487520649,person
712,31.182779888832247,121.46953355479468,person
713,31.182761005930807,121.46958313978804,person
714,31.182696774008036,121.46964822659304,person
725,31.182338653639555,121.46932519248404,person
731,31.182323012265925,121.4693120682418,person
732,31.182290306721896,121.46923231095212,person
739,31.18259042211529,121.4692915465462,person
740,31.18260057622497,121.4693151136978,person
744,31.182600019600788,121.46924222468454,person
748,31.18237930072034,121.46937670866352,person
751,31.182339395114077,121.46927945483765,person
752,31.182394877259043,121.46929583134836,person
753,31.182419524344805,121.4693386998888,person
756,31.182396027907878,121.469256932342,person
759,31.18245001708756,121.46912416403178,person
764,31.182444810946546,121.46912516360992,person
770,31.182479254723564,121.46916155130808,person
771,31.18245356806198,121.469146339518,person
779,31.18216070164611,121.46921884244664,person
783,31.182389227382536,121.46941115166275,person
784,31.18244074336962,121.46936756026597,person
787,31.18236916667472,121.46935948769416,person
788,31.18244293018749,121.46931145491595,person
789,31.18235407146958,121.46929981551466,person
794,31.18243702254981,121.46927345509542,umbrella
806,31.18222963902369,121.46922731130933,person
808,31.18214345694631,121.46916400618376,person
811,31.182196061307767,121.469241593775,person
814,31.18230960665869,121.4690624097126,person
818,31.18217354960229,121.46905876913162,person
819,31.18223528599377,121.4692351805738,person
824,31.182058908359213,121.46918124995442,person
825,31.18213544482697,121.46915581791671,person
826,31.18204282597733,121.46909792643469,person
830,31.18220999499477,121.4691893482378,person
832,31.182138845078384,121.4692470634018,person
834,31.182107993006014,121.46915032617451,person
840,31.182304396134636,121.46908122141012,person
843,31.18202641015823,121.46919962037953,person
853,31.1820995428565,121.46927630183713,person
858,31.18205774252041,121.46926303597836,umbrella
859,31.182268541526263,121.46897695224877,person
863,31.182061146271884,121.46928123992082,person
866,31.18219850837828,121.46871234025392,car
868,31.18225793978309,121.46899240857476,person
877,31.182046653690744,121.469332000822,person
881,31.18215867124236,121.469214374659,person
882,31.18213116163182,121.4693203995924,person
890,31.18214705876775,121.46911230368195,person
895,31.18198586014735,121.46938162530752,person
903,31.181965316292203,121.46939283462564,person
908,31.18199777313941,121.4694222357656,person
911,31.18196557425308,121.46941435889184,person
913,31.18200326133528,121.46943290125782,person
961,31.182032365369565,121.46954200170968,person
964,31.18200403813871,121.46954197494355,person
966,31.182033725296417,121.46955871726465,person
970,31.18200877068155,121.4692857602638,person
974,31.18200431281988,121.4692857177469,person
977,31.18206952784162,121.46957487037324,person
980,31.182066890673703,121.46958131969772,person
986,31.18199341540091,121.46928680834304,person
990,31.182061782965377,121.46933923434374,person
995,31.182003991268378,121.4693006377062,person
1000,31.18193908642328,121.46956522270465,person
1003,31.18194256705586,121.4695663189823,person
1019,31.18210085584052,121.46966765147066,person
